Name,Similar Movies
The Shawshank Redemption,"The Dark Knight, The Godfather, Forrest Gump, Fight Club, Pulp Fiction, Inception, Schindler's List, The Green Mile, Se7en, The Lord of the Rings: The Return of the King, The Godfather Part II, 12 Angry Men"
The Godfather,"The Godfather Part II, The Shawshank Redemption, The Dark Knight, Pulp Fiction, Forrest Gump, The Godfather Part III, Fight Club, Goodfellas, The Lord of the Rings: The Return of the King, Schindler's List, Inception, The Silence of the Lambs"
The Dark Knight,"The Dark Knight Rises, Batman Begins, Inception, The Shawshank Redemption, Fight Club, The Lord of the Rings: The Return of the King, Forrest Gump, The Godfather, Pulp Fiction, The Lord of the Rings: The Fellowship of the Ring, The Matrix, Joker"
The Godfather Part II,"The Godfather, The Godfather Part III, The Shawshank Redemption, Schindler's List, Goodfellas, Pulp Fiction, The Dark Knight, The Lord of the Rings: The Return of the King, Forrest Gump, 12 Angry Men, Fight Club, The Good, the Bad and the Ugly"
Schindler's List,"The Shawshank Redemption, Forrest Gump, Pulp Fiction, Saving Private Ryan, The Godfather, The Godfather Part II, 12 Angry Men, The Lord of the Rings: The Return of the King, The Silence of the Lambs, The Pianist, Fight Club, The Green Mile"
The Lord of the Rings: The Return of the King,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Fellowship of the Ring, The Dark Knight, The Matrix, Forrest Gump, The Shawshank Redemption, Pulp Fiction, Inception, Star Wars: Episode V - The Empire Strikes Back, The Hobbit: An Unexpected Journey, Fight Club, Schindler's List"
12 Angry Men,"Schindler's List, The Shawshank Redemption, The Godfather Part II, The Good, the Bad and the Ugly, The Godfather, Pulp Fiction, Forrest Gump, One Flew Over the Cuckoo's Nest, The Lord of the Rings: The Return of the King, The Dark Knight, Fight Club, Goodfellas"
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Matrix, The Hobbit: An Unexpected Journey, Forrest Gump, The Dark Knight, Star Wars: Episode V - The Empire Strikes Back, Pulp Fiction, Inception, The Hobbit: The Desolation of Smaug, Fight Club, The Hobbit: The Battle of the Five Armies"
Pulp Fiction,"Fight Club, Forrest Gump, Django Unchained, The Shawshank Redemption, Inglourious Basterds, Se7en, Inception, The Dark Knight, The Godfather, Schindler's List, The Silence of the Lambs, The Matrix"
Inception,"Fight Club, The Dark Knight, Forrest Gump, Interstellar, Shutter Island, Se7en, The Matrix, Pulp Fiction, The Shawshank Redemption, The Wolf of Wall Street, The Prestige, The Dark Knight Rises"
Fight Club,"Inception, Forrest Gump, Se7en, Pulp Fiction, The Dark Knight, The Shawshank Redemption, The Matrix, The Wolf of Wall Street, Shutter Island, Django Unchained, Inglourious Basterds, The Silence of the Lambs"
Forrest Gump,"Fight Club, Pulp Fiction, Inception, The Shawshank Redemption, The Dark Knight, The Green Mile, The Matrix, Se7en, Saving Private Ryan, Schindler's List, The Lord of the Rings: The Return of the King, The Wolf of Wall Street"
The Lord of the Rings: The Two Towers,"The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, The Matrix, Star Wars: Episode V - The Empire Strikes Back, Forrest Gump, The Hobbit: An Unexpected Journey, The Dark Knight, The Hobbit: The Desolation of Smaug, The Hobbit: The Battle of the Five Armies, Star Wars: Episode IV - A New Hope, Fight Club, Inception"
"The Good, the Bad and the Ugly","Schindler's List, 12 Angry Men, For a Few Dollars More, A Fistful of Dollars, One Flew Over the Cuckoo's Nest, The Lord of the Rings: The Return of the King, The Godfather Part II, Forrest Gump, The Godfather, Goodfellas, Pulp Fiction, Star Wars: Episode V - The Empire Strikes Back"
12th Fail,"3 Idiots, Maharaja, Dangal, Lost Ladies, Animal, Jai Bhim, Capernaum, Kalki 2898 AD, Drishyam, PK, The Lives of Others, Dunki"
Interstellar,"Inception, The Dark Knight, Fight Club, Forrest Gump, Se7en, The Shawshank Redemption, The Wolf of Wall Street, The Matrix, Let Us Prey: A Ministry of Scandals, Who Killed Robert Wone?, Hell Camp: Teen Nightmare, Teen Torture, Inc."
Goodfellas,"Pulp Fiction, The Godfather, The Godfather Part II, Se7en, Fight Club, The Silence of the Lambs, One Flew Over the Cuckoo's Nest, Forrest Gump, The Departed, Inception, The Matrix, Schindler's List"
The Matrix,"Inception, Fight Club, Forrest Gump, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, Pulp Fiction, The Matrix Reloaded, The Dark Knight, Star Wars: Episode V - The Empire Strikes Back, Se7en, Saving Private Ryan"
One Flew Over the Cuckoo's Nest,"Goodfellas, The Silence of the Lambs, The Good, the Bad and the Ugly, Schindler's List, Se7en, 12 Angry Men, Forrest Gump, Life Is Beautiful, Saving Private Ryan, Pulp Fiction, The Green Mile, The Matrix"
Star Wars: Episode V - The Empire Strikes Back,"Star Wars: Episode IV - A New Hope, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode VII - The Force Awakens, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Matrix, The Lord of the Rings: The Fellowship of the Ring, Star Wars: Episode VIII - The Last Jedi, Back to the Future"
Jai Bhim,"Soorarai Pottru, Maharaja, Vikram, Kaithi, 12th Fail, Asuran, Sita Ramam, Dangal, Vikram Vedha, 96, K.G.F: Chapter 1, Raatchasan"
The Silence of the Lambs,"Se7en, Pulp Fiction, Forrest Gump, Saving Private Ryan, The Green Mile, Fight Club, Inception, The Matrix, One Flew Over the Cuckoo's Nest, Goodfellas, Hannibal, Schindler's List"
Se7en,"Fight Club, The Silence of the Lambs, Inception, Pulp Fiction, Shutter Island, Forrest Gump, The Shawshank Redemption, The Green Mile, The Matrix, Django Unchained, The Dark Knight, Saving Private Ryan"
Saving Private Ryan,"The Green Mile, Forrest Gump, The Silence of the Lambs, Schindler's List, Se7en, The Pianist, The Matrix, Terminator 2: Judgment Day, Fight Club, Inception, Pulp Fiction, The Shawshank Redemption"
The Green Mile,"Saving Private Ryan, Forrest Gump, The Shawshank Redemption, The Silence of the Lambs, Se7en, The Pianist, Fight Club, Schindler's List, Life Is Beautiful, The Matrix, Back to the Future, Pulp Fiction"
Spider-Man: Across the Spider-Verse,"Spider-Man: No Way Home, Avengers: Infinity War, Avengers: Endgame, Dune: Part Two, Star Wars: Episode IV - A New Hope, Back to the Future, The Dark Knight, The Matrix, Spider-Man: Far from Home, Whiplash, Spider-Man, Spider-Man: Homecoming"
City of God,"Life Is Beautiful, American History X, Saving Private Ryan, Léon: The Professional, Seven Samurai, The Silence of the Lambs, One Flew Over the Cuckoo's Nest, The Green Mile, Goodfellas, Se7en, The Pianist, The Departed"
Spirited Away,"Howl's Moving Castle, My Neighbor Totoro, The Lion King, Ponyo, Kiki's Delivery Service, WALL·E, Castle in the Sky, Up, Spirited Away: Live on Stage, Coco, Monsters, Inc., Ratatouille"
Star Wars: Episode IV - A New Hope,"Star Wars: Episode V - The Empire Strikes Back, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode I - The Phantom Menace, Star Wars: Episode II - Attack of the Clones, Star Wars: Episode VII - The Force Awakens, Back to the Future, Star Wars: Episode VIII - The Last Jedi, Rogue One: A Star Wars Story, The Lord of the Rings: The Two Towers, Terminator 2: Judgment Day, Star Wars: Episode IX - The Rise of Skywalker"
Terminator 2: Judgment Day,"The Terminator, Saving Private Ryan, Back to the Future, Star Wars: Episode IV - A New Hope, The Matrix, Terminator 3: Rise of the Machines, Star Wars: Episode V - The Empire Strikes Back, The Godfather, The Green Mile, The Silence of the Lambs, The Golden Boy, The Lord of the Rings: The Return of the King"
It's a Wonderful Life,"Spirited Away, The Lion King, It's a Wonderful Life: The Rest of the Story, Toy Story, WALL·E, The Wizard of Oz, Spider-Man: Into the Spider-Verse, Toy Story 3, Up, Coco, Finding Nemo, Monsters, Inc."
Life Is Beautiful,"The Pianist, City of God, The Green Mile, Saving Private Ryan, Schindler's List, One Flew Over the Cuckoo's Nest, Forrest Gump, The Silence of the Lambs, American History X, The Intouchables, Back to the Future, Seven Samurai"
Seven Samurai,"City of God, Life Is Beautiful, The Good, the Bad and the Ugly, One Flew Over the Cuckoo's Nest, Harakiri, The Silence of the Lambs, Saving Private Ryan, Goodfellas, Terminator 2: Judgment Day, Star Wars: Episode IV - A New Hope, The Green Mile, 12 Angry Men"
Harakiri,"Cinema Paradiso, Modern Times, Seven Samurai, City Lights, Grave of the Fireflies, Casablanca, Once Upon a Time in the West, American History X, The Usual Suspects, The Intouchables, Rear Window, High and Low"
Gladiator,"Saving Private Ryan, Forrest Gump, The Green Mile, The Matrix, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers, Se7en, The Shawshank Redemption, The Lord of the Rings: The Fellowship of the Ring, Inception, The Dark Knight, Back to the Future"
Dune: Part Two,"Dune: Part One, Oppenheimer, Spider-Man: Across the Spider-Verse, Inception, Fight Club, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King, The Matrix, The Lord of the Rings: The Two Towers, Dune, The Dark Knight, Forrest Gump"
Alien,"Aliens, Alien³, Alien Resurrection, Prometheus, Alien: Covenant, Terminator 2: Judgment Day, Back to the Future, The Matrix, Alien: Romulus, The Terminator, Star Wars: Episode IV - A New Hope, Predator"
Parasite,"Inception, Fight Club, Se7en, Forrest Gump, Whiplash, Pulp Fiction, The Silence of the Lambs, The Pianist, Django Unchained, Joker, Shutter Island, The Prestige"
Léon: The Professional,"American History X, The Pianist, The Departed, The Usual Suspects, The Green Mile, The Prestige, Pulp Fiction, Se7en, The Silence of the Lambs, The Intouchables, Life Is Beautiful, Whiplash"
Whiplash,"Fight Club, Parasite, Forrest Gump, The Pianist, The Departed, Django Unchained, Léon: The Professional, The Wolf of Wall Street, Inception, Pulp Fiction, Se7en, The Prestige"
The Prestige,"Inception, Memento, Se7en, The Departed, Shutter Island, Fight Club, Django Unchained, The Usual Suspects, The Dark Knight, American History X, Léon: The Professional, The Matrix"
The Departed,"The Prestige, Goodfellas, Se7en, Django Unchained, American History X, Shutter Island, The Usual Suspects, Inception, Léon: The Professional, Inglourious Basterds, The Silence of the Lambs, Pulp Fiction"
Back to the Future,"Back to the Future Part II, Star Wars: Episode IV - A New Hope, Back to the Future Part III, Terminator 2: Judgment Day, Star Wars: Episode V - The Empire Strikes Back, Forrest Gump, The Matrix, The Green Mile, Saving Private Ryan, The Silence of the Lambs, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Fellowship of the Ring"
Django Unchained,"Inglourious Basterds, Pulp Fiction, The Wolf of Wall Street, Shutter Island, Fight Club, Forrest Gump, Inception, Se7en, The Departed, The Dark Knight, Catch Me If You Can, Reservoir Dogs"
The Lion King,"Toy Story, WALL·E, Finding Nemo, Up, Monsters, Inc., Ratatouille, The Lion King, Toy Story 3, Spirited Away, The Incredibles, Coco, The Lion King II: Simba's Pride"
The Usual Suspects,"The Departed, The Prestige, American History X, Léon: The Professional, Se7en, Memento, The Silence of the Lambs, Goodfellas, One Flew Over the Cuckoo's Nest, Reservoir Dogs, Pulp Fiction, The Green Mile"
Psycho,"Rear Window, The Silence of the Lambs, The Shining, Vertigo, The Pianist, One Flew Over the Cuckoo's Nest, American History X, Léon: The Professional, Back to the Future, Casablanca, Star Wars: Episode IV - A New Hope, The Departed"
American History X,"Léon: The Professional, The Departed, The Pianist, The Usual Suspects, The Prestige, The Green Mile, Whiplash, City of God, Se7en, Life Is Beautiful, The Silence of the Lambs, The Intouchables"
Once Upon a Time in the West,"City Lights, Casablanca, Once Upon a Time in America, Rear Window, Cinema Paradiso, The Good, the Bad and the Ugly, Hamilton, For a Few Dollars More, Modern Times, Grave of the Fireflies, Duck, You Sucker!, Sunset Boulevard"
The Pianist,"Life Is Beautiful, The Green Mile, Schindler's List, Saving Private Ryan, Léon: The Professional, Forrest Gump, American History X, Se7en, Whiplash, Fight Club, The Silence of the Lambs, The Intouchables"
Maharaja,"Lost Ladies, 12th Fail, Aavesham, Manjummel Boys, Kalki 2898 AD, Jai Bhim, Kill, Stree 2: Sarkate Ka Aatank, Vikram, Maharaj, Dangal, Kaithi"
The Intouchables,"Forrest Gump, Léon: The Professional, The Pianist, Django Unchained, The Prestige, The Green Mile, American History X, Life Is Beautiful, Inception, Parasite, Whiplash, Green Book"
Casablanca,"Once Upon a Time in the West, Grave of the Fireflies, Cinema Paradiso, Rear Window, Modern Times, City Lights, Harakiri, Psycho, The Departed, Casablanca, Gone with the Wind, Citizen Kane"
Grave of the Fireflies,"Casablanca, Princess Mononoke, Once Upon a Time in the West, Hamilton, Spider-Man: Across the Spider-Verse, Your Name., Harakiri, Taxi Driver, Grave of the Fireflies, Gladiator, Green Book, American History X"
Rear Window,"Vertigo, City Lights, Psycho, Once Upon a Time in the West, Casablanca, Modern Times, Sunset Boulevard, Cinema Paradiso, Dial M for Murder, North by Northwest, Apocalypse Now, Paths of Glory"
Cinema Paradiso,"Modern Times, Harakiri, City Lights, Casablanca, Once Upon a Time in the West, The Intouchables, Rear Window, The Lives of Others, Life Is Beautiful, Sunset Boulevard, Apocalypse Now, American History X"
City Lights,"Modern Times, The Great Dictator, Once Upon a Time in the West, Cinema Paradiso, Rear Window, Sunset Boulevard, Apocalypse Now, Casablanca, The Gold Rush, Harakiri, Paths of Glory, The Lives of Others"
Modern Times,"City Lights, The Great Dictator, Cinema Paradiso, Rear Window, Harakiri, Once Upon a Time in the West, Casablanca, Sunset Boulevard, The Intouchables, The Gold Rush, Apocalypse Now, The Lives of Others"
Joker,"The Wolf of Wall Street, The Dark Knight, Fight Club, Forrest Gump, Inception, The Dark Knight Rises, Shutter Island, Inglourious Basterds, Django Unchained, Pulp Fiction, Parasite, Joker: Folie à Deux"
Coco,"Up, WALL·E, Inside Out, Toy Story, Ratatouille, Toy Story 3, Finding Nemo, Monsters, Inc., Soul, The Lion King, Spider-Man: Into the Spider-Verse, The Incredibles"
Inglourious Basterds,"Django Unchained, Pulp Fiction, The Wolf of Wall Street, Shutter Island, Fight Club, Forrest Gump, Se7en, Inception, Reservoir Dogs, Inglorious Basterds: Stolz der Nation, The Dark Knight Rises, Kill Bill: Vol. 1"
The Shining,"A Clockwork Orange, The Silence of the Lambs, Inglourious Basterds, Se7en, Psycho, Pulp Fiction, The Truman Show, Taxi Driver, Full Metal Jacket, Fight Club, Forrest Gump, 2001: A Space Odyssey"
Avengers: Endgame,"Avengers: Infinity War, The Avengers, Spider-Man: No Way Home, Avengers: Age of Ultron, Captain America: Civil War, Thor: Ragnarok, Spider-Man: Far from Home, Iron Man, Spider-Man: Homecoming, The Dark Knight Rises, Guardians of the Galaxy, Black Panther"
The Dark Knight Rises,"Batman Begins, The Dark Knight, Inception, The Wolf of Wall Street, Avengers: Infinity War, Avengers: Endgame, Joker, Inglourious Basterds, Django Unchained, Shutter Island, Fight Club, Forrest Gump"
Aliens,"Alien, Alien³, Alien Resurrection, Prometheus, Alien: Covenant, Predator, The Terminator, Alien vs. Predator, Terminator 2: Judgment Day, Predator 2, Raiders of the Lost Ark, Alien: Earth"
Memento,"The Prestige, Se7en, Shutter Island, The Departed, Inception, Django Unchained, The Usual Suspects, Inglourious Basterds, Léon: The Professional, American History X, Fight Club, Momento"
Apocalypse Now,"Paths of Glory, Amadeus, Ikiru, Come and See, Full Metal Jacket, Taxi Driver, Hamilton, Platoon, 2001: A Space Odyssey, The Conversation, A Clockwork Orange, Green Book"
Avengers: Infinity War,"Avengers: Endgame, The Avengers, Avengers: Age of Ultron, Spider-Man: No Way Home, Captain America: Civil War, Thor: Ragnarok, Captain America: The Winter Soldier, Guardians of the Galaxy, Iron Man, Spider-Man: Homecoming, Black Panther, Spider-Man: Far from Home"
Raiders of the Lost Ark,"Indiana Jones and the Last Crusade, Indiana Jones and the Temple of Doom, Indiana Jones and the Kingdom of the Crystal Skull, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode IV - A New Hope, Star Wars: Episode V - The Empire Strikes Back, Jurassic Park, Back to the Future, Die Hard, Indiana Jones and the Dial of Destiny, Terminator 2: Judgment Day, The Terminator"
WALL·E,"Up, Ratatouille, Finding Nemo, Toy Story, Monsters, Inc., The Incredibles, Toy Story 3, Coco, The Lion King, Inside Out, Spider-Man: Into the Spider-Verse, How to Train Your Dragon"
Spider-Man: Into the Spider-Verse,"WALL·E, Toy Story, Up, Toy Story 3, The Incredibles, Coco, Ratatouille, How to Train Your Dragon, Monsters, Inc., The Lion King, Finding Nemo, Inside Out"
Your Name.,"A Silent Voice: The Movie, Weathering with You, Suzume, Princess Mononoke, The Garden of Words, Grave of the Fireflies, 3 Idiots, Death Note, Spider-Man: Across the Spider-Verse, Avengers: Infinity War, Avengers: Endgame, Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train"
Amadeus,"Paths of Glory, Ikiru, Apocalypse Now, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Great Dictator, Come and See, Das Boot, American Beauty, Hamilton, Braveheart, The Lives of Others, Oldboy"
The Lives of Others,"Sunset Boulevard, Witness for the Prosecution, Cinema Paradiso, The Great Dictator, City Lights, Paths of Glory, The Hunt, Modern Times, Apocalypse Now, Rear Window, Amadeus, Memento"
Capernaum,"The Lives of Others, Come and See, 3 Idiots, The Hunt, High and Low, A Separation, Incendies, Once Upon a Time in America, Dangal, Singin' in the Rain, Cinema Paradiso, The Intouchables"
Sunset Boulevard,"Witness for the Prosecution, Paths of Glory, City Lights, The Lives of Others, The Great Dictator, Rear Window, Double Indemnity, Modern Times, Cinema Paradiso, Once Upon a Time in the West, The Apartment, Apocalypse Now"
Das Boot,"Amadeus, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Braveheart, The Great Dictator, Witness for the Prosecution, American Beauty, The Good, the Bad and the Ugly, Star Wars: Episode V - The Empire Strikes Back, Oldboy, Paths of Glory, Das Boot, The Godfather Part II"
3 Idiots,"Dangal, PK, 12th Fail, 3 Idiots, Munna Bhai M.B.B.S., Drishyam, Bajrangi Bhaijaan, Capernaum, Chhichhore, Your Name., Andhadhun, Baahubali 2: The Conclusion"
Witness for the Prosecution,"The Great Dictator, Sunset Boulevard, Paths of Glory, Amadeus, The Lives of Others, Das Boot, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Witness for the Prosecution, City Lights, The Shining, Double Indemnity, Modern Times"
Paths of Glory,"Witness for the Prosecution, Amadeus, The Great Dictator, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Sunset Boulevard, Come and See, Apocalypse Now, Ikiru, The Killing, Hamilton, Barry Lyndon, Spartacus"
